Borsa_Fiyati,Sistem_Hacmi,Sebekeden_Alis,Sebekeye_Satis,Kooperatif_Tasarrufu
4.37323788676394,1435.327,1242.223,0,2454.40917
4.33747169827924,1513.294,1064.506,0,2587.73274
4.53469076397411,864.99,1667.91,0,1479.1329
4.70274651575603,490.588,2157.812,0,838.90548
7.32253587505086,14.6347,3389.7153,0,59.709576
7.34016770354957,-0.1265,3077.8265,0,-0.51612
7.34016903824698,-0.1265,3053.5265,0,-0.51612
7.34017188968247,-0.1265,3002.8765,0,-0.51612
7.34017581872535,-0.1265,2935.7765,0,-0.51612
3.08999282251178,-0.1265,2996.4265,0,0.021505
3.08995820404705,-0.1265,514.7765,0,0.021505
3.08993010447764,-0.1265,307.9265,0,0.021505
3.08978305936234,-0.1265,99.3815,0,0.021505
3.08979671703446,-0.1265,106.0415,0,0.021505
3.08977845542066,-0.1265,97.3215,0,0.021505
3.08978777995431,-0.1265,101.5865,0,0.021505
3.08983909886385,-0.1265,133.9065,0,0.021505
4.97172426436887,-0.1265,125.7065,0,-0.216315
4.97213037419304,-0.1265,101.7915,0,-0.216315
4.97043206960572,-0.1265,500.9015,0,-0.216315
4.09445696495415,503.535,0,24.7925000000001,861.04485
3.81122574966566,501.45,0,552.6868,857.4795
3.67532876121921,512.93,0,1085.9858,877.1103
3.76087183696348,555.99,0,786.196,950.7429
3.9112561150364,542.5,0,339.4396,927.675
3.87558346532546,498.88,0,388.055,853.0848
3.99140646904876,513.605,0,173.5786,878.26455
4.42880290165082,255.2552,296.0098,0,436.486392
7.31488312399683,4.9473,793.7477,0,20.184984
7.34076040507202,-0.1265,678.9965,0,-0.51612
7.34071299258094,-0.1265,724.1315,0,-0.51612
7.34074932108565,-0.1265,689.0365,0,-0.51612
7.34076198800148,-0.1265,677.5865,0,-0.51612
3.0899688210651,-0.1265,689.9815,0,0.021505
3.08992953766155,-0.1265,305.4515,0,0.021505
3.08979945632661,-0.1265,107.4865,0,0.021505
3.089807274373,-0.1265,111.8365,0,0.021505
3.08979220917256,-0.1265,103.7465,0,0.021505
3.08978577156604,-0.1265,100.6365,0,0.021505
3.08980011804236,-0.1265,107.8415,0,0.021505
3.08982077449089,-0.1265,120.2415,0,0.021505
4.97181034158099,-0.1265,119.7415,0,-0.216315
4.9720138530073,-0.1265,107.6665,0,-0.216315
4.97045007162571,-0.1265,480.8765,0,-0.216315
4.27077848183111,360.472,160.618,0,616.40712
3.82794914847685,498.48,0,503.88,852.4008
3.80616851640846,507.365,0,573.78,867.59415
3.68053019193444,456.14,0,942.52,779.9994
3.62634553347902,422.775,0,1127.8472,722.94525
3.90277427553496,504.475,0,333.1265,862.65225
3.88800569779378,493.73,0,356.92,844.2783
4.12924639936616,538.0265,18.2334999999999,0,920.025315
7.24247046418396,19.1654,763.4246,0,78.194832
7.34076948594337,-0.1265,670.9865,0,-0.51612
7.34075868927211,-0.1265,680.5315,0,-0.51612
7.34073896799051,-0.1265,698.6865,0,-0.51612
7.34074003815472,-0.1265,697.6765,0,-0.51612
3.0899695475751,-0.1265,706.4365,0,0.021505
3.08992489789361,-0.1265,286.5965,0,0.021505
3.0897833871382,-0.1265,99.5315,0,0.021505
3.08993272823678,-0.1265,319.9265,0,0.021505
3.08993317765794,-0.1265,322.0765,0,0.021505
3.08993500537214,-0.1265,331.1265,0,0.021505
3.08993266504578,-0.1265,319.6265,0,0.021505
3.0899395117341,-0.1265,355.7765,0,0.021505
4.9706432710279,-0.1265,336.5265,0,-0.216315
4.97061483954312,-0.1265,352.0765,0,-0.216315
4.97008241125546,-0.1265,2625.0765,0,-0.216315
4.71512747165713,465.1673,2190.5827,0,795.436083
4.4732073924263,1030.822,1486.528,0,1762.70562
4.31909090653805,1355.514,850.036,0,2317.92894
4.42698509815992,1011.035,1161.765,0,1728.86985
4.54842150490458,711.6227,1463.2273,0,1216.874817
4.39402951558872,1054.9534,1022.1466,0,1803.970314
4.52555669775822,886.687,1638.163,0,1516.23477
4.72409760337741,454.9143,2253.6357,0,777.903453
7.28904270573289,42.5487,3321.6513,0,173.598696
